DELETE,1,"The right to access, update or to delete the information we have on you."
DELETE,1,"Whenever made possible, you can access, update or request deletion of your Personal Data directly within your account settings section. If you are unable to perform these actions yourself, please contact us to assist you."
DELETE,1,"All of this information is entirely optional, and you have the ability to access, modify, and delete it at any time (while you are not able to delete your email address entirely, you can make it private)."
DELETE,1,"If you would like to request to review, correct, restrict or delete personal information that you have previously provided to us, object to the processing of personal information, or if you would like to request to receive an electronic copy of your personal information for purposes of transmitting it to another company (to the extent this right to data portability is provided to you by applicable law), you may contact us by completing this form."
DELETE,1,"To erase/delete your Personal Data, to the extent permitted by applicable data protection laws (right to erasure; right to be forgotten);"
DELETE,1,you may also request the permanent deletion of your account
DELETE,1,"And of course, should you wish, you may also request the permanent deletion of your account, in which case all personal information collected on you will be removed from our servers and encrypted (except, in some cases your IP address required for security purposes, site maintenance, and spam protection)."
DELETE,1,"But, if you delete your account, your information and content will be unrecoverable after that time."
DELETE,1,"If you have a Medium account, you can access, modify or export your personal information, or delete your account here."
DELETE,1,"When you delete your Medium account, Medium deletes your personal data as explained in this policy."
DELETE,1,"you can delete your account from the Account page within your Settings at any time, or you can contact us via the Help Center."
DELETE,1,"If you signed up using Google by mistake, you can delete your account from the Account page within your Settings at any time, or you can contact us via the Help Center."
DELETE,1,"If you have an account and would like to delete it, you may do so by adjusting you Settings in the Account tab."
DELETE,1,"If you delete your account, all data associated with your account (except for backup copies), including the Sounds that you have uploaded and the usage data associated with those Sounds, will be deleted and may not be recoverable."
DELETE,1,"ou have the right to ask us to delete all or some of the personal data we hold about you. If you have an account, you can also delete your account through the Settings at any time as described below."
DELETE,1,"You may update, correct or delete information about you at any time by logging in to your account"
DELETE,1,"will allow you to view, correct or remove your Personal Information upon written request and in accordance with applicable law;"
DELETE,1,"will allow you to view, correct or remove your Personal Information upon written request and in accordance with applicable law;"
DELETE,1,"Right to erasure (right to be forgotten). Under certain circumstances, you may have the right to require us to delete your personal data."
DELETE,1,You may delete your account
DELETE,1,The shared information will remain associated with your Indeed profile until you modify or delete it.
DELETE,1,until you ask us to delete your personal data
DELETE,1,"If a Job Seeker wishes to access or delete their Personal Data held by Indeed, they should follow the steps listed in section 10 of this Privacy Policy, and such a request will be processed in accordance with applicable rules."
DELETE,1,"You may delete your account"
DELETE, 1, "You can delete your account"
DELETE, 1, "We delete your data"
